Core Values ,Peace,"Understands the principles of Peace, Conflict, and Violence","Identifies and understands theories and conceptual schemes of Peace, Conflict, and Violence."
Core Values ,Peace,"Understands the principles of Peace, Conflict, and Violence","Uses theories and conceptual schemes to define and approach issues of Peace, Conflict, and Violence."
Core Values ,Peace,Responds to Conflict,Introduction to Engaging and Transforming Conflict
Core Values ,Peace,Non-Violence in Theory and Practice,"Identifies and uses non-violence theories and conceptual schemes to define and approach issues of Peace, Conflict, and Violence."
Core Values ,Peace,Non-Violence in Theory and Practice,Understands the applications of different non-violence approaches.
Core Values ,Peace,Makes connections between Peace and Social Justice,Social Justice and Conflict 
Core Values ,Peace,Makes connections between Peace and Social Justice,Social Justice and Human Rights
Core Values ,Peace,Makes connections between Peace and Social Justice,Social Justice and Sustainable Behavior
Core Values ,"Sustainability, and respect for the environment",Understanding,Knowledge of sustainability issues
Core Values ,"Sustainability, and respect for the environment",Understanding,Multi-dimensional understanding of sustainable practices
Core Values ,"Sustainability, and respect for the environment",Understanding,Multi-generational  understanding of sustainable practices
Core Values ,"Sustainability, and respect for the environment",Systems thinking ,Understands how systems work
Core Values ,"Sustainability, and respect for the environment",Systems thinking ,Applies knowledge of systems
Core Values ,"Sustainability, and respect for the environment",Analysis,Analysis of sustainability issues
Core Values ,"Sustainability, and respect for the environment",Responses to sustainability issues,Solutions-oriented
Core Values ,"Sustainability, and respect for the environment",Responses to sustainability issues,Application of understanding and analysis
Core Values ,"Sustainability, and respect for the environment",Responses to sustainability issues,Incorporates and increases awareness of and responsibility for sustainability
Core Values ,"Sustainability, and respect for the environment",Responses to sustainability issues,Demonstrates a capacity to reduce the community's overall resource consumption or emissions
Core Values ,"International and intercultural understanding, and celebration of difference",Knowledge of cultural worldview frameworks,"Demonstrate knowledge of the development of the distinctive features of the history, institutions, economy, society, culture, etc., of at least one other culture "
Core Values ,"International and intercultural understanding, and celebration of difference",Knowledge of cultural worldview frameworks,Understanding Global Relationships
Core Values ,"International and intercultural understanding, and celebration of difference",Engagement with other points of view,Openness
Core Values ,"International and intercultural understanding, and celebration of difference",Engagement with other points of view,Embracing Contradictions
Core Values ,"International and intercultural understanding, and celebration of difference",Engagement with other points of view,Curiosity
Core Values ,"International and intercultural understanding, and celebration of difference",Responses to differences in international and cultural differences,Diversity of Communities and Cultures
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Ethical and Social Responsibility,Ethical Self-Awareness
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Ethical and Social Responsibility,Understanding Different Ethical Perspectives & Concepts
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Ethical and Social Responsibility,Problem Recognition
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Ethical and Social Responsibility,Higher level of Moral Development
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Ethical and Social Responsibility,Application of ethics theory
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Ethical and Social Responsibility,Managing for socially responsible behavior
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Ethical and Social Responsibility,Evaluation of Different Ethical Perspectives & Concepts
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Personal Responsibility,Responsibility for actions
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Personal Responsibility,Self-discipline and self-control
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Mutual Responsibility,Fulfills individual role in group contexts
Core Values ,"Personal responsibility and integrity, and mutual responsibility and respect",Mutual Responsibility,Achieves group roles
Core Values ,"Compassion and service, and sense of idealism",Consideration of others,Respects the needs of others
Core Values ,"Compassion and service, and sense of idealism",Consideration of others,Encourages participation of others
Core Values ,"Compassion and service, and sense of idealism",Understands the perspectives of others,Incorporates the perspectives of others into one's actions
Core Values ,"Compassion and service, and sense of idealism",Understands the perspectives of others,Demonstrates empathy
Core Values ,"Personal challenge, and action and personal example",Personal Challenge,Taking Risks
Core Values ,"Personal challenge, and action and personal example",Initiative,Demonstrates interest in growth
Core Values ,"Personal challenge, and action and personal example",Initiative,Demonstrates perseverance
Core Values ,"Personal challenge, and action and personal example",Initiative,Demonstrates resourcefulness
Core Values ,"Personal challenge, and action and personal example",Self-awareness & Personal Example,Cultural self- awareness
Core Values ,"Personal challenge, and action and personal example",Self-awareness & Personal Example,Sense of Self (Humility)
Core Values ,"Personal challenge, and action and personal example",Civic Action,Civic Communication
Core Values ,"Personal challenge, and action and personal example",Civic Action,Civic Action and Reflection
Core Values ,"Personal challenge, and action and personal example",Civic Action,Civic Contexts & Structures
